# accelerometer data
# file: 'rgbd_dataset_freiburg2_xyz.bag'
# timestamp ax ay az
1311867169.759421 0.407114 9.088214 -5.951044
1311867169.760549 0.407114 9.088214 -5.951044
1311867169.764194 0.407114 8.705048 -5.951044
1311867169.765170 0.407114 8.705048 -5.951044
1311867169.766426 0.407114 8.705048 -5.951044
1311867169.767462 0.407114 8.705048 -5.951044
1311867169.770554 0.395140 8.513465 -6.142627
1311867169.771517 0.395140 8.513465 -6.142627
1311867169.775168 0.407114 8.321882 -5.759461
1311867169.776173 0.407114 8.321882 -5.759461
1311867169.779430 0.371192 7.986612 -5.472087
1311867169.780433 0.371192 7.986612 -5.472087
1311867169.784040 0.119739 8.130300 -4.993129
1311867169.785165 0.119739 8.130300 -4.993129
1311867169.786420 0.119739 8.130300 -4.993129
1311867169.787446 0.119739 8.130300 -4.993129
1311867169.790554 0.023948 8.321882 -4.801547
1311867169.791556 0.023948 8.321882 -4.801547
1311867169.795208 0.023948 8.297935 -4.705755
1311867169.796179 0.023948 8.297935 -4.705755
1311867169.799429 0.023948 8.273987 -4.322589
1311867169.800552 0.023948 8.273987 -4.322589
1311867169.804032 0.023948 8.513465 -4.035215
1311867169.805196 0.023948 8.513465 -4.035215
1311867169.806415 0.023948 8.513465 -4.035215
1311867169.807422 0.023948 8.513465 -4.035215
1311867169.810573 0.227505 8.657153 -3.843632
1311867169.811569 0.227505 8.657153 -3.843632
1311867169.815179 0.407114 8.752944 -3.472440
1311867169.816175 0.407114 8.752944 -3.472440
1311867169.819421 0.227505 8.705048 -3.412571
1311867169.820428 0.227505 8.705048 -3.412571
1311867169.822042 0.227505 8.705048 -3.412571
1311867169.825321 0.407114 8.417674 -3.077300
1311867169.826294 0.407114 8.417674 -3.077300
1311867169.829449 0.323296 8.417674 -2.789926
1311867169.830427 0.323296 8.417674 -2.789926
1311867169.834059 0.323296 8.513465 -2.694135
1311867169.835027 0.323296 8.513465 -2.694135
1311867169.836308 0.323296 8.513465 -2.694135
1311867169.837310 0.323296 8.513465 -2.694135
1311867169.840434 0.371192 8.705048 -2.981509
1311867169.841556 0.371192 8.705048 -2.981509
1311867169.845175 0.323296 8.609257 -3.364675
1311867169.846189 0.323296 8.609257 -3.364675
1311867169.849455 0.395140 8.705048 -3.268883
1311867169.850437 0.395140 8.705048 -3.268883
1311867169.854049 0.431062 8.705048 -3.460466
1311867169.855093 0.431062 8.705048 -3.460466
1311867169.856332 0.431062 8.705048 -3.460466
1311867169.857298 0.431062 8.705048 -3.460466
1311867169.860581 0.598697 8.800840 -3.843632
1311867169.861562 0.598697 8.800840 -3.843632
1311867169.865204 0.706462 8.705048 -4.131006
1311867169.866185 0.706462 8.705048 -4.131006
1311867169.869436 0.802253 8.513465 -4.418381
1311867169.870576 0.802253 8.513465 -4.418381
1311867169.874202 0.886071 8.130300 -4.705755
1311867169.875184 0.886071 8.130300 -4.705755
1311867169.876427 0.886071 8.130300 -4.705755
1311867169.877441 0.886071 8.130300 -4.705755
1311867169.880548 0.993836 7.555551 -5.041025
1311867169.881561 0.993836 7.555551 -5.041025
1311867169.885184 1.089628 7.268176 -5.184712
1311867169.886314 1.089628 7.268176 -5.184712
1311867169.889451 1.161471 7.076594 -4.993129
1311867169.890438 1.161471 7.076594 -4.993129
1311867169.894064 1.089628 6.980802 -4.993129
1311867169.895045 1.089628 6.980802 -4.993129
1311867169.896356 1.089628 6.980802 -4.993129
1311867169.897315 1.089628 6.980802 -4.993129
1311867169.900579 1.137524 6.813167 -4.897338
1311867169.901548 1.137524 6.813167 -4.897338
1311867169.905065 0.993836 6.693428 -4.993129
1311867169.906204 0.993836 6.693428 -4.993129
1311867169.909463 0.993836 6.693428 -4.514172
1311867169.910424 0.993836 6.693428 -4.514172
1311867169.911946 0.993836 6.693428 -4.514172
1311867169.913035 0.993836 6.693428 -4.514172
1311867169.916310 0.838175 7.076594 -4.418381
1311867169.917443 0.838175 7.076594 -4.418381
1311867169.920582 0.802253 7.507655 -4.418381
1311867169.921581 0.802253 7.507655 -4.418381
1311867169.925203 1.089628 7.842925 -4.322589
1311867169.926207 1.089628 7.842925 -4.322589
1311867169.929410 1.185419 7.986612 -4.238772
1311867169.930453 1.185419 7.986612 -4.238772
1311867169.933712 1.365028 8.130300 -4.322589
1311867169.935063 1.365028 8.130300 -4.322589
1311867169.936312 1.365028 8.130300 -4.322589
1311867169.937303 1.365028 8.130300 -4.322589
1311867169.940564 1.472794 8.321882 -4.609964
1311867169.941659 1.472794 8.321882 -4.609964
1311867169.945209 1.365028 8.273987 -5.041025
1311867169.946163 1.365028 8.273987 -5.041025
1311867169.949454 1.365028 8.034508 -5.352347
1311867169.950584 1.365028 8.034508 -5.352347
1311867169.954039 1.365028 7.842925 -5.567878
1311867169.955186 1.365028 7.842925 -5.567878
1311867169.956314 1.365028 7.842925 -5.567878
1311867169.957457 1.365028 7.842925 -5.567878
1311867169.960555 1.472794 7.459759 -5.759461
1311867169.961628 1.472794 7.459759 -5.759461
1311867169.965208 1.365028 7.268176 -5.855253
1311867169.966383 1.365028 7.268176 -5.855253
1311867169.969458 1.365028 7.459759 -5.759461
1311867169.970449 1.365028 7.459759 -5.759461
1311867169.974074 1.365028 7.363968 -5.855253
1311867169.975058 1.365028 7.363968 -5.855253
1311867169.976348 1.365028 7.363968 -5.855253
1311867169.977488 1.365028 7.363968 -5.855253
1311867169.980438 1.556611 7.363968 -5.855253
1311867169.981563 1.556611 7.363968 -5.855253
1311867169.985213 1.556611 7.459759 -5.807357
1311867169.986241 1.556611 7.459759 -5.807357
1311867169.989460 1.556611 7.555551 -5.951044
1311867169.990458 1.556611 7.555551 -5.951044
1311867169.993714 1.269237 7.603447 -6.094731
1311867169.994973 1.269237 7.603447 -6.094731
1311867169.996318 1.269237 7.603447 -6.094731
1311867169.997338 1.269237 7.603447 -6.094731
1311867170.000445 1.221341 7.747134 -5.951044
1311867170.001594 1.221341 7.747134 -5.951044
1311867170.005231 1.089628 7.842925 -5.759461
1311867170.006202 1.089628 7.842925 -5.759461
1311867170.009445 1.173445 7.938717 -5.759461
1311867170.010432 1.173445 7.938717 -5.759461
1311867170.011947 1.173445 7.938717 -5.759461
